Zone,Species,timeRad,ImageDate,Month,Day,Year,LocationName
2,Wild_pig,0.64294,4/11/2016,4,11,2016,17
2,Wild_pig,5.97681,4/11/2016,4,11,2016,27
2,Wild_pig,0.3255,4/12/2015,4,12,2015,46
2,Wild_pig,0.85296,4/12/2015,4,12,2015,30
2,Wild_pig,1.48244,4/12/2015,4,12,2015,35
2,Wild_pig,3.11832,4/12/2015,4,12,2015,5
2,Wild_pig,4.85914,4/12/2015,4,12,2015,8
2,Wild_pig,5.01862,4/12/2015,4,12,2015,13
2,Wild_pig,5.31598,4/12/2015,4,12,2015,21
2,Wild_pig,5.52637,4/12/2015,4,12,2015,22
2,Wild_pig,5.83064,4/12/2015,4,12,2015,11
2,Wild_pig,0.78722,4/13/2015,4,13,2015,41
2,Wild_pig,0.86917,4/13/2015,4,13,2015,34
2,Wild_pig,1.09054,4/13/2015,4,13,2015,46
2,Wild_pig,1.45713,4/13/2015,4,13,2015,35
2,Wild_pig,4.72279,4/13/2015,4,13,2015,48
2,Wild_pig,5.14865,4/13/2015,4,13,2015,11
2,Wild_pig,5.8374,4/13/2015,4,13,2015,25
2,Wild_pig,0.37146,4/14/2015,4,14,2015,29
2,Wild_pig,1.17497,4/14/2015,4,14,2015,33
2,Wild_pig,2.81173,4/14/2015,4,14,2015,4
2,Wild_pig,4.1517,4/14/2015,4,14,2015,30
2,Wild_pig,4.16028,4/14/2015,4,14,2015,45
2,Wild_pig,4.67516,4/14/2015,4,14,2015,44
2,Wild_pig,5.60927,4/14/2015,4,14,2015,20
2,Wild_pig,0.01207,4/14/2016,4,14,2016,14
2,Wild_pig,0.62141,4/14/2016,4,14,2016,44
2,Wild_pig,0.91201,4/14/2016,4,14,2016,37
2,Wild_pig,1.56665,4/14/2016,4,14,2016,2
2,Wild_pig,3.8078,4/14/2016,4,14,2016,9
2,Wild_pig,4.69006,4/14/2016,4,14,2016,11
2,Wild_pig,0.80423,4/15/2015,4,15,2015,42
2,Wild_pig,0.81405,4/15/2015,4,15,2015,33
2,Wild_pig,0.96619,4/15/2015,4,15,2015,44
2,Wild_pig,3.65327,4/15/2015,4,15,2015,17
2,Wild_pig,3.90197,4/15/2015,4,15,2015,13
2,Wild_pig,4.12487,4/15/2015,4,15,2015,17
2,Wild_pig,4.78562,4/15/2015,4,15,2015,44
2,Wild_pig,5.21577,4/15/2015,4,15,2015,28
2,Wild_pig,5.98517,4/15/2015,4,15,2015,27
2,Wild_pig,0.28885,4/16/2015,4,16,2015,47
2,Wild_pig,1.35539,4/16/2015,4,16,2015,34
2,Wild_pig,3.55407,4/16/2015,4,16,2015,17
2,Wild_pig,5.02844,4/16/2015,4,16,2015,43
2,Wild_pig,5.08225,4/16/2015,4,16,2015,22
2,Wild_pig,0.58956,4/16/2016,4,16,2016,33
2,Wild_pig,3.8062,4/17/2015,4,17,2015,35
2,Wild_pig,4.0192,4/17/2015,4,17,2015,5
2,Wild_pig,5.42877,4/17/2015,4,17,2015,34
2,Wild_pig,5.96895,4/17/2015,4,17,2015,6
2,Wild_pig,1.29642,4/18/2015,4,18,2015,44
2,Wild_pig,2.25387,4/18/2015,4,18,2015,36
2,Wild_pig,2.72031,4/18/2015,4,18,2015,36
2,Wild_pig,4.96779,4/18/2015,4,18,2015,14
2,Wild_pig,5.19323,4/18/2015,4,18,2015,13
2,Wild_pig,5.36296,4/18/2015,4,18,2015,30
2,Wild_pig,5.47692,4/18/2015,4,18,2015,11
2,Wild_pig,3.25802,4/19/2015,4,19,2015,35
2,Wild_pig,3.29249,4/19/2015,4,19,2015,17
2,Wild_pig,3.78344,4/19/2015,4,19,2015,30
2,Wild_pig,4.54346,4/19/2015,4,19,2015,35
2,Wild_pig,5.71697,4/19/2015,4,19,2015,35
2,Wild_pig,0.51269,4/19/2016,4,19,2016,44
2,Wild_pig,5.35482,4/19/2016,4,19,2016,45
2,Wild_pig,5.56855,4/19/2016,4,19,2016,37
2,Wild_pig,5.58942,4/19/2016,4,19,2016,14
2,Wild_pig,5.73915,4/19/2016,4,19,2016,15
2,Wild_pig,0.06741,4/20/2015,4,20,2015,41
2,Wild_pig,0.19737,4/20/2015,4,20,2015,6
2,Wild_pig,2.42383,4/20/2015,4,20,2015,34
2,Wild_pig,3.61472,4/20/2015,4,20,2015,35
2,Wild_pig,4.79827,4/20/2015,4,20,2015,30
2,Wild_pig,4.91368,4/20/2015,4,20,2015,34
2,Wild_pig,4.95957,4/20/2015,4,20,2015,11
2,Wild_pig,5.02182,4/20/2015,4,20,2015,10
2,Wild_pig,5.32791,4/20/2015,4,20,2015,13
2,Wild_pig,4.9219,4/20/2016,4,20,2016,26
2,Wild_pig,0.88685,4/21/2015,4,21,2015,2
2,Wild_pig,3.98051,4/21/2015,4,21,2015,17
2,Wild_pig,4.12465,4/21/2015,4,21,2015,23
2,Wild_pig,0.94677,4/22/2015,4,22,2015,34
2,Wild_pig,1.16632,4/22/2015,4,22,2015,8
2,Wild_pig,1.39161,4/22/2015,4,22,2015,6
2,Wild_pig,4.17337,4/22/2015,4,22,2015,38
2,Wild_pig,4.50368,4/22/2015,4,22,2015,4
2,Wild_pig,5.1248,4/22/2015,4,22,2015,10
2,Wild_pig,5.20261,4/22/2015,4,22,2015,20
2,Wild_pig,5.4623,4/22/2015,4,22,2015,30
2,Wild_pig,5.76475,4/22/2015,4,22,2015,22
2,Wild_pig,4.82664,4/22/2016,4,22,2016,39
2,Wild_pig,5.10691,4/22/2016,4,22,2016,1
2,Wild_pig,0.1882,4/23/2015,4,23,2015,20
2,Wild_pig,0.96379,4/23/2015,4,23,2015,39
2,Wild_pig,1.23235,4/23/2015,4,23,2015,2
2,Wild_pig,3.71021,4/23/2015,4,23,2015,44
2,Wild_pig,4.89638,4/23/2015,4,23,2015,8
2,Wild_pig,2.39866,4/23/2016,4,23,2016,44
2,Wild_pig,4.73821,4/23/2016,4,23,2016,26
2,Wild_pig,5.77362,4/23/2016,4,23,2016,11
2,Wild_pig,0.3399,4/24/2015,4,24,2015,12
2,Wild_pig,1.25838,4/24/2015,4,24,2015,8
2,Wild_pig,1.46222,4/24/2015,4,24,2015,35
2,Wild_pig,2.27373,4/24/2015,4,24,2015,23
2,Wild_pig,4.96706,4/24/2015,4,24,2015,8
2,Wild_pig,5.30544,4/24/2015,4,24,2015,31
2,Wild_pig,5.93601,4/24/2015,4,24,2015,28
2,Wild_pig,4.83987,4/24/2016,4,24,2016,5
2,Wild_pig,6.21846,4/24/2016,4,24,2016,38
2,Wild_pig,1.08007,4/25/2015,4,25,2015,7
2,Wild_pig,1.19279,4/25/2015,4,25,2015,44
2,Wild_pig,2.42601,4/25/2015,4,25,2015,44
2,Wild_pig,2.55698,4/25/2015,4,25,2015,44
2,Wild_pig,2.58556,4/25/2015,4,25,2015,39
2,Wild_pig,2.69617,4/25/2015,4,25,2015,44
2,Wild_pig,2.82831,4/25/2015,4,25,2015,44
2,Wild_pig,2.84852,4/25/2015,4,25,2015,39
2,Wild_pig,2.9651,4/25/2015,4,25,2015,44
2,Wild_pig,4.50317,4/25/2015,4,25,2015,39
2,Wild_pig,4.93957,4/25/2015,4,25,2015,20
2,Wild_pig,1.94095,4/25/2016,4,25,2016,23
2,Wild_pig,4.85412,4/25/2016,4,25,2016,33
2,Wild_pig,5.07644,4/25/2016,4,25,2016,38
2,Wild_pig,0.22318,4/26/2015,4,26,2015,11
2,Wild_pig,0.50265,4/26/2015,4,26,2015,8
2,Wild_pig,1.36899,4/26/2015,4,26,2015,8
2,Wild_pig,2.49451,4/26/2015,4,26,2015,10
2,Wild_pig,3.99993,4/26/2015,4,26,2015,31
2,Wild_pig,4.6148,4/26/2015,4,26,2015,44
2,Wild_pig,4.95215,4/26/2015,4,26,2015,30
2,Wild_pig,5.03186,4/26/2015,4,26,2015,8
2,Wild_pig,5.54055,4/26/2015,4,26,2015,20
2,Wild_pig,6.05724,4/26/2015,4,26,2015,25
2,Wild_pig,6.27642,4/26/2015,4,26,2015,17
2,Wild_pig,1.19999,4/26/2016,4,26,2016,2
2,Wild_pig,4.94772,4/26/2016,4,26,2016,1
2,Wild_pig,0.13526,4/27/2015,4,27,2015,11
2,Wild_pig,0.43633,4/27/2015,4,27,2015,25
2,Wild_pig,0.64577,4/27/2015,4,27,2015,19
2,Wild_pig,1.77842,4/27/2015,4,27,2015,3
2,Wild_pig,5.39547,4/27/2015,4,27,2015,11
2,Wild_pig,5.70301,4/27/2015,4,27,2015,11
2,Wild_pig,1.00538,4/27/2016,4,27,2016,44
2,Wild_pig,4.7393,4/27/2016,4,27,2016,11
2,Wild_pig,5.13898,4/27/2016,4,27,2016,38
2,Wild_pig,0.26449,4/28/2015,4,28,2015,33
2,Wild_pig,0.30303,4/28/2015,4,28,2015,45
2,Wild_pig,0.65319,4/28/2015,4,28,2015,20
2,Wild_pig,0.78693,4/28/2015,4,28,2015,26
2,Wild_pig,1.14937,4/28/2015,4,28,2015,45
2,Wild_pig,3.39852,4/28/2015,4,28,2015,29
2,Wild_pig,4.50724,4/28/2015,4,28,2015,7
2,Wild_pig,4.72344,4/28/2015,4,28,2015,36
2,Wild_pig,4.79151,4/28/2015,4,28,2015,12
2,Wild_pig,5.2037,4/28/2015,4,28,2015,37
2,Wild_pig,6.00597,4/28/2015,4,28,2015,11
2,Wild_pig,0.21213,4/28/2016,4,28,2016,33
2,Wild_pig,3.39765,4/28/2016,4,28,2016,39
2,Wild_pig,0.29205,4/29/2015,4,29,2015,17
2,Wild_pig,4.81813,4/29/2015,4,29,2015,33
2,Wild_pig,5.06131,4/29/2015,4,29,2015,14
2,Wild_pig,1.46942,4/29/2016,4,29,2016,26
2,Wild_pig,4.67552,4/29/2016,4,29,2016,30
2,Wild_pig,1.13694,4/30/2015,4,30,2015,20
2,Wild_pig,3.93484,4/30/2015,4,30,2015,43
2,Wild_pig,4.89296,4/30/2015,4,30,2015,25
2,Wild_pig,4.89485,4/30/2015,4,30,2015,33
2,Wild_pig,5.30951,4/30/2015,4,30,2015,28
2,Wild_pig,5.47292,4/30/2015,4,30,2015,43
2,Wild_pig,5.18559,4/30/2016,4,30,2016,46
2,Wild_pig,0.0496,5/1/2015,5,1,2015,41
2,Wild_pig,0.15962,5/1/2015,5,1,2015,19
2,Wild_pig,0.54825,5/1/2015,5,1,2015,5
2,Wild_pig,0.88263,5/1/2015,5,1,2015,11
2,Wild_pig,2.30543,5/1/2015,5,1,2015,5
2,Wild_pig,3.82016,5/1/2015,5,1,2015,33
2,Wild_pig,3.86314,5/1/2015,5,1,2015,4
2,Wild_pig,3.93339,5/1/2015,5,1,2015,35
2,Wild_pig,4.03389,5/1/2015,5,1,2015,33
2,Wild_pig,4.13745,5/1/2015,5,1,2015,35
2,Wild_pig,4.30551,5/1/2015,5,1,2015,35
2,Wild_pig,4.5244,5/1/2015,5,1,2015,46
2,Wild_pig,4.90358,5/1/2015,5,1,2015,3
2,Wild_pig,5.35387,5/1/2015,5,1,2015,43
2,Wild_pig,6.06211,5/1/2015,5,1,2015,10
2,Wild_pig,1.1565,5/2/2015,5,2,2015,44
2,Wild_pig,1.45662,5/2/2015,5,2,2015,34
2,Wild_pig,2.48106,5/2/2015,5,2,2015,34
2,Wild_pig,3.81653,5/2/2015,5,2,2015,30
2,Wild_pig,4.79115,5/2/2015,5,2,2015,25
2,Wild_pig,5.00117,5/2/2015,5,2,2015,25
2,Wild_pig,5.04204,5/2/2015,5,2,2015,14
2,Wild_pig,0.9099,5/2/2016,5,2,2016,9
2,Wild_pig,1.00422,5/2/2016,5,2,2016,10
2,Wild_pig,4.9976,5/2/2016,5,2,2016,38
2,Wild_pig,5.13694,5/3/2015,5,3,2015,37
2,Wild_pig,0.73718,5/3/2016,5,3,2016,8
2,Wild_pig,1.31285,5/3/2016,5,3,2016,44
2,Wild_pig,0.19184,5/4/2015,5,4,2015,19
2,Wild_pig,1.55734,5/4/2015,5,4,2015,2
2,Wild_pig,3.11076,5/4/2015,5,4,2015,43
2,Wild_pig,4.96415,5/4/2015,5,4,2015,3
2,Wild_pig,5.83834,5/4/2015,5,4,2015,10
2,Wild_pig,2.65363,5/4/2016,5,4,2016,16
2,Wild_pig,4.71806,5/4/2016,5,4,2016,23
2,Wild_pig,0.11221,5/5/2015,5,5,2015,1
2,Wild_pig,0.37728,5/5/2015,5,5,2015,10
2,Wild_pig,0.81921,5/5/2015,5,5,2015,26
2,Wild_pig,3.95143,5/5/2015,5,5,2015,33
2,Wild_pig,5.14196,5/5/2015,5,5,2015,41
2,Wild_pig,5.29715,5/5/2015,5,5,2015,5
2,Wild_pig,5.87187,5/5/2015,5,5,2015,39
2,Wild_pig,1.16886,5/5/2016,5,5,2016,33
2,Wild_pig,1.54091,5/5/2016,5,5,2016,7
2,Wild_pig,1.61799,5/5/2016,5,5,2016,48
2,Wild_pig,4.51946,5/5/2016,5,5,2016,25
2,Wild_pig,0.04138,5/6/2015,5,6,2015,31
2,Wild_pig,0.53109,5/6/2015,5,6,2015,20
2,Wild_pig,0.74213,5/6/2015,5,6,2015,34
2,Wild_pig,0.83965,5/6/2015,5,6,2015,27
2,Wild_pig,0.94502,5/6/2015,5,6,2015,39
2,Wild_pig,3.81384,5/6/2015,5,6,2015,30
2,Wild_pig,4.34987,5/6/2015,5,6,2015,30
2,Wild_pig,5.34522,5/6/2015,5,6,2015,10
2,Wild_pig,5.98619,5/6/2015,5,6,2015,4
2,Wild_pig,1.69573,5/6/2016,5,6,2016,23
2,Wild_pig,4.47052,5/6/2016,5,6,2016,39
2,Wild_pig,0.07127,5/7/2015,5,7,2015,12
2,Wild_pig,0.9728,5/7/2015,5,7,2015,4
2,Wild_pig,1.25656,5/7/2015,5,7,2015,44
2,Wild_pig,3.14319,5/7/2015,5,7,2015,8
2,Wild_pig,3.22071,5/7/2015,5,7,2015,43
2,Wild_pig,4.31053,5/7/2015,5,7,2015,4
2,Wild_pig,4.58643,5/7/2015,5,7,2015,6
2,Wild_pig,4.60898,5/7/2015,5,7,2015,13
2,Wild_pig,4.8734,5/7/2015,5,7,2015,14
2,Wild_pig,5.70919,5/7/2015,5,7,2015,20
2,Wild_pig,0.64919,5/7/2016,5,7,2016,5
2,Wild_pig,3.19155,5/7/2016,5,7,2016,7
2,Wild_pig,0.04894,5/8/2015,5,8,2015,19
2,Wild_pig,0.44026,5/8/2015,5,8,2015,39
2,Wild_pig,2.32158,5/8/2015,5,8,2015,45
2,Wild_pig,3.52462,5/8/2015,5,8,2015,34
2,Wild_pig,4.32282,5/8/2015,5,8,2015,14
2,Wild_pig,4.96735,5/8/2015,5,8,2015,34
2,Wild_pig,5.44703,5/8/2015,5,8,2015,26
2,Wild_pig,5.10167,5/8/2016,5,8,2016,44
2,Wild_pig,1.25802,5/9/2015,5,9,2015,6
2,Wild_pig,5.04793,5/9/2015,5,9,2015,14
2,Wild_pig,5.3887,5/9/2015,5,9,2015,47
2,Wild_pig,5.99608,5/9/2016,5,9,2016,3
2,Wild_pig,6.1477,5/9/2016,5,9,2016,42
2,Wild_pig,0.43306,5/10/2015,5,10,2015,20
2,Wild_pig,2.55458,5/10/2015,5,10,2015,23
2,Wild_pig,5.28129,5/10/2015,5,10,2015,42
2,Wild_pig,5.36427,5/10/2015,5,10,2015,8
2,Wild_pig,5.76846,5/10/2015,5,10,2015,30
2,Wild_pig,6.11811,5/10/2015,5,10,2015,18
2,Wild_pig,1.14181,5/10/2016,5,10,2016,11
2,Wild_pig,1.90757,5/10/2016,5,10,2016,35
2,Wild_pig,3.64963,5/10/2016,5,10,2016,7
2,Wild_pig,4.21686,5/10/2016,5,10,2016,7
2,Wild_pig,0.05381,5/11/2015,5,11,2015,26
2,Wild_pig,0.78162,5/11/2015,5,11,2015,20
2,Wild_pig,3.19962,5/11/2015,5,11,2015,18
2,Wild_pig,3.41256,5/11/2015,5,11,2015,30
2,Wild_pig,5.78831,5/11/2015,5,11,2015,20
2,Wild_pig,1.26202,5/11/2016,5,11,2016,23
2,Wild_pig,4.52193,5/11/2016,5,11,2016,6
