Zone,Species,timeRad,ImageDate,LocationName
1,Wild_pig,4.78206,10/28/2016,16
1,Wild_pig,4.9771,10/28/2016,27
1,Wild_pig,5.36645,10/28/2016,15
1,Wild_pig,5.52033,10/28/2016,15
1,Wild_pig,5.57422,10/28/2016,27
1,Wild_pig,6.05447,10/28/2016,16
1,Wild_pig,6.24079,10/28/2016,28
1,Wild_pig,0.1365,10/29/2016,27
1,Wild_pig,0.25009,10/29/2016,28
1,Wild_pig,0.35277,10/29/2016,15
1,Wild_pig,0.42332,10/29/2016,27
1,Wild_pig,0.73966,10/29/2016,16
1,Wild_pig,0.7406,10/29/2016,5
1,Wild_pig,0.95419,10/29/2016,28
1,Wild_pig,0.99317,10/29/2016,38
1,Wild_pig,1.07345,10/29/2016,27
1,Wild_pig,1.51051,10/29/2016,10
1,Wild_pig,1.78147,10/29/2016,10
1,Wild_pig,1.92852,10/29/2016,38
1,Wild_pig,1.94641,10/29/2016,11
1,Wild_pig,2.04116,10/29/2016,16
1,Wild_pig,2.88016,10/29/2016,11
1,Wild_pig,4.58483,10/29/2016,5
1,Wild_pig,4.84009,10/29/2016,16
1,Wild_pig,4.95717,10/29/2016,27
1,Wild_pig,5.01157,10/29/2016,40
1,Wild_pig,5.32275,10/29/2016,5
1,Wild_pig,5.53524,10/29/2016,27
1,Wild_pig,5.65574,10/29/2016,15
1,Wild_pig,6.00779,10/29/2016,5
1,Wild_pig,6.08844,10/29/2016,35
1,Wild_pig,6.16254,10/29/2016,15
1,Wild_pig,0.04131,10/30/2016,39
1,Wild_pig,0.22377,10/30/2016,38
1,Wild_pig,0.33387,10/30/2016,27
1,Wild_pig,0.57734,10/30/2016,24
1,Wild_pig,0.60527,10/30/2016,16
1,Wild_pig,0.70475,10/30/2016,5
1,Wild_pig,0.91004,10/30/2016,17
1,Wild_pig,1.10705,10/30/2016,37
1,Wild_pig,1.27671,10/30/2016,15
1,Wild_pig,1.57029,10/30/2016,16
1,Wild_pig,1.79223,10/30/2016,16
1,Wild_pig,1.92364,10/30/2016,35
1,Wild_pig,2.092,10/30/2016,16
1,Wild_pig,2.52098,10/30/2016,38
1,Wild_pig,3.16035,10/30/2016,16
1,Wild_pig,3.31438,10/30/2016,35
1,Wild_pig,4.72322,10/30/2016,16
1,Wild_pig,4.72519,10/30/2016,15
1,Wild_pig,4.81704,10/30/2016,38
1,Wild_pig,4.90118,10/30/2016,16
1,Wild_pig,5.14087,10/30/2016,27
1,Wild_pig,5.22966,10/30/2016,15
1,Wild_pig,5.52331,10/30/2016,27
1,Wild_pig,5.93477,10/30/2016,8
1,Wild_pig,5.9899,10/30/2016,15
1,Wild_pig,5.9971,10/30/2016,5
1,Wild_pig,6.01862,10/30/2016,38
1,Wild_pig,0.32441,10/31/2016,28
1,Wild_pig,0.39088,10/31/2016,39
1,Wild_pig,0.42346,10/31/2016,35
1,Wild_pig,0.47488,10/31/2016,27
1,Wild_pig,0.67624,10/31/2016,15
1,Wild_pig,0.87805,10/31/2016,5
1,Wild_pig,0.94182,10/31/2016,23
1,Wild_pig,1.06058,10/31/2016,18
1,Wild_pig,1.08494,10/31/2016,15
1,Wild_pig,1.3487,10/31/2016,40
1,Wild_pig,1.63705,10/31/2016,40
1,Wild_pig,1.77216,10/31/2016,8
1,Wild_pig,2.04793,10/31/2016,43
1,Wild_pig,4.70046,10/31/2016,15
1,Wild_pig,4.9019,10/31/2016,35
1,Wild_pig,4.95797,10/31/2016,27
1,Wild_pig,5.02866,10/31/2016,40
1,Wild_pig,5.0672,10/31/2016,10
1,Wild_pig,5.62592,10/31/2016,15
1,Wild_pig,5.77311,10/31/2016,38
1,Wild_pig,5.90765,10/31/2016,20
1,Wild_pig,5.9211,10/31/2016,27
1,Wild_pig,5.94503,10/31/2016,5
1,Wild_pig,6.03498,10/31/2016,16
1,Wild_pig,6.07484,10/31/2016,15
1,Wild_pig,0.01833,11/01/2016,37
1,Wild_pig,0.25409,11/01/2016,15
1,Wild_pig,0.57109,11/01/2016,15
1,Wild_pig,0.57741,11/01/2016,27
1,Wild_pig,0.82241,11/01/2016,35
1,Wild_pig,1.03782,11/01/2016,10
1,Wild_pig,1.28129,11/01/2016,15
1,Wild_pig,1.33576,11/01/2016,27
1,Wild_pig,1.40557,11/01/2016,9
1,Wild_pig,1.53378,11/01/2016,32
1,Wild_pig,1.803,11/01/2016,32
1,Wild_pig,2.47779,11/01/2016,10
1,Wild_pig,3.70097,11/01/2016,38
1,Wild_pig,4.45495,11/01/2016,39
1,Wild_pig,4.52418,11/01/2016,11
1,Wild_pig,4.65748,11/01/2016,10
1,Wild_pig,4.81762,11/01/2016,16
1,Wild_pig,4.88365,11/01/2016,15
1,Wild_pig,5.01797,11/01/2016,15
1,Wild_pig,5.18363,11/01/2016,38
1,Wild_pig,5.42834,11/01/2016,9
1,Wild_pig,5.49161,11/01/2016,27
1,Wild_pig,5.72148,11/01/2016,15
1,Wild_pig,5.73624,11/01/2016,17
1,Wild_pig,5.92961,11/01/2016,16
1,Wild_pig,6.04182,11/01/2016,13
1,Wild_pig,6.21781,11/01/2016,27
1,Wild_pig,0.01993,11/02/2016,15
1,Wild_pig,0.02436,11/02/2016,5
1,Wild_pig,0.38674,11/02/2016,20
1,Wild_pig,0.5676,11/02/2016,4
1,Wild_pig,1.15846,11/02/2016,27
1,Wild_pig,1.16799,11/02/2016,5
1,Wild_pig,1.51924,11/02/2016,16
1,Wild_pig,1.59167,11/02/2016,10
1,Wild_pig,1.61145,11/02/2016,40
1,Wild_pig,2.05382,11/02/2016,10
1,Wild_pig,2.20573,11/02/2016,40
1,Wild_pig,2.32805,11/02/2016,10
1,Wild_pig,2.65268,11/02/2016,16
1,Wild_pig,3.67588,11/02/2016,40
1,Wild_pig,3.68294,11/02/2016,10
1,Wild_pig,3.77747,11/02/2016,38
1,Wild_pig,4.32376,11/02/2016,16
1,Wild_pig,4.51989,11/02/2016,10
1,Wild_pig,4.66061,11/02/2016,35
1,Wild_pig,4.68606,11/02/2016,18
1,Wild_pig,4.82838,11/02/2016,27
1,Wild_pig,4.9171,11/02/2016,15
1,Wild_pig,5.02291,11/02/2016,35
1,Wild_pig,5.26842,11/02/2016,27
1,Wild_pig,5.5292,11/02/2016,28
1,Wild_pig,5.53698,11/02/2016,15
1,Wild_pig,5.68097,11/02/2016,15
1,Wild_pig,5.863,11/02/2016,29
1,Wild_pig,5.99062,11/02/2016,27
1,Wild_pig,6.05833,11/02/2016,15
1,Wild_pig,6.15658,11/02/2016,23
1,Wild_pig,6.17847,11/02/2016,27
1,Wild_pig,6.20785,11/02/2016,38
1,Wild_pig,0.24355,11/03/2016,18
1,Wild_pig,0.32012,11/03/2016,5
1,Wild_pig,0.4404,11/03/2016,15
1,Wild_pig,0.46106,11/03/2016,27
1,Wild_pig,0.56192,11/03/2016,22
1,Wild_pig,0.59487,11/03/2016,36
1,Wild_pig,0.60665,11/03/2016,27
1,Wild_pig,0.81281,11/03/2016,10
1,Wild_pig,0.84292,11/03/2016,15
1,Wild_pig,0.85208,11/03/2016,16
1,Wild_pig,1.15214,11/03/2016,15
1,Wild_pig,1.18588,11/03/2016,27
1,Wild_pig,1.25264,11/03/2016,10
1,Wild_pig,1.42542,11/03/2016,27
1,Wild_pig,1.68119,11/03/2016,10
1,Wild_pig,1.95281,11/03/2016,10
1,Wild_pig,2.83929,11/03/2016,35
1,Wild_pig,4.23424,11/03/2016,35
1,Wild_pig,4.45459,11/03/2016,34
1,Wild_pig,4.65145,11/03/2016,38
1,Wild_pig,4.79478,11/03/2016,27
1,Wild_pig,4.83558,11/03/2016,41
1,Wild_pig,4.94423,11/03/2016,15
1,Wild_pig,5.03157,11/03/2016,11
1,Wild_pig,5.29897,11/03/2016,20
1,Wild_pig,5.39387,11/03/2016,35
1,Wild_pig,5.85245,11/03/2016,15
1,Wild_pig,6.09789,11/03/2016,35
1,Wild_pig,0.21722,11/04/2016,28
1,Wild_pig,0.30172,11/04/2016,32
1,Wild_pig,1.23111,11/04/2016,15
1,Wild_pig,1.38136,11/04/2016,10
1,Wild_pig,1.38543,11/04/2016,18
1,Wild_pig,1.56701,11/04/2016,11
1,Wild_pig,2.27678,11/04/2016,38
1,Wild_pig,2.29111,11/04/2016,10
1,Wild_pig,2.34492,11/04/2016,5
1,Wild_pig,3.68352,11/04/2016,10
1,Wild_pig,4.29678,11/04/2016,11
1,Wild_pig,4.87609,11/04/2016,40
1,Wild_pig,4.87885,11/04/2016,27
1,Wild_pig,4.91347,11/04/2016,16
1,Wild_pig,5.16268,11/04/2016,15
1,Wild_pig,5.43605,11/04/2016,23
1,Wild_pig,5.61436,11/04/2016,28
1,Wild_pig,5.68061,11/04/2016,16
1,Wild_pig,6.24115,11/04/2016,17
1,Wild_pig,6.26806,11/04/2016,16
1,Wild_pig,0.03345,11/05/2016,27
1,Wild_pig,0.34921,11/05/2016,15
1,Wild_pig,0.48775,11/05/2016,15
1,Wild_pig,0.73471,11/05/2016,28
1,Wild_pig,0.82634,11/05/2016,27
1,Wild_pig,0.99033,11/05/2016,39
1,Wild_pig,1.37656,11/05/2016,5
1,Wild_pig,1.3799,11/05/2016,32
1,Wild_pig,1.38885,11/05/2016,18
1,Wild_pig,1.55116,11/05/2016,40
1,Wild_pig,1.59574,11/05/2016,8
1,Wild_pig,1.85638,11/05/2016,8
1,Wild_pig,1.88445,11/05/2016,16
1,Wild_pig,4.58149,11/05/2016,13
1,Wild_pig,4.71726,11/05/2016,11
1,Wild_pig,4.73624,11/05/2016,35
1,Wild_pig,4.75319,11/05/2016,38
1,Wild_pig,4.78177,11/05/2016,5
1,Wild_pig,4.9635,11/05/2016,15
1,Wild_pig,5.04407,11/05/2016,38
1,Wild_pig,5.22959,11/05/2016,16
1,Wild_pig,5.23577,11/05/2016,35
1,Wild_pig,5.42957,11/05/2016,16
1,Wild_pig,5.49939,11/05/2016,28
1,Wild_pig,5.67268,11/05/2016,28
1,Wild_pig,5.67436,11/05/2016,27
1,Wild_pig,5.89558,11/05/2016,16
1,Wild_pig,5.99862,11/05/2016,15
1,Wild_pig,6.08196,11/05/2016,4
1,Wild_pig,6.13796,11/05/2016,28
1,Wild_pig,6.25977,11/05/2016,15
1,Wild_pig,0.25024,11/06/2016,28
1,Wild_pig,0.293,11/06/2016,35
1,Wild_pig,0.31365,11/06/2016,16
1,Wild_pig,0.32725,11/06/2016,17
1,Wild_pig,0.3583,11/06/2016,10
1,Wild_pig,0.36565,11/06/2016,15
1,Wild_pig,0.39874,11/06/2016,28
1,Wild_pig,1.25206,11/06/2016,17
1,Wild_pig,1.26944,11/06/2016,27
1,Wild_pig,1.30412,11/06/2016,10
1,Wild_pig,1.37263,11/06/2016,16
1,Wild_pig,1.49167,11/06/2016,36
1,Wild_pig,1.58854,11/06/2016,16
1,Wild_pig,1.59974,11/06/2016,5
1,Wild_pig,1.96153,11/06/2016,18
1,Wild_pig,2.18588,11/06/2016,35
1,Wild_pig,2.43408,11/06/2016,10
1,Wild_pig,4.40514,11/06/2016,32
1,Wild_pig,4.79791,11/06/2016,38
1,Wild_pig,4.823,11/06/2016,24
1,Wild_pig,4.94095,11/06/2016,27
1,Wild_pig,4.95092,11/06/2016,38
